date,name,description,location
2021-01-01,Año Nuevo,día festivo nacional en Argentina,argentina.ics
2021-02-15,Carnaval,día festivo nacional en Argentina,argentina.ics
2021-02-16,Carnaval,día festivo nacional en Argentina,argentina.ics
2021-03-24,Día Nacional de la Verdad y la Justicia,día festivo nacional en Argentina,argentina.ics
2021-04-01,Jueves Santo,día festivo regional,argentina.ics
2021-04-02,Viernes Santo,día festivo nacional en Argentina,argentina.ics
2021-04-02,Día de las Malvinas,día festivo nacional en Argentina,argentina.ics
2021-04-04,Pascuas,día festivo nacional en Argentina,argentina.ics
2021-05-01,Día Internacional del Trabajo,día festivo nacional en Argentina,argentina.ics
2021-05-25,Día de la Revolución de Mayo,día festivo nacional en Argentina,argentina.ics
2021-06-17,Muerte del General Martín Miguel de Güemes,día festivo nacional en Argentina,argentina.ics
2021-06-20,Muerte del Gral. Manuel Belgrano,día festivo nacional en Argentina,argentina.ics
2021-07-09,Día de la Independencia,día festivo nacional en Argentina,argentina.ics
2021-08-16,Muerte del Gral. José de San Martín,día festivo nacional en Argentina,argentina.ics
2021-10-11,Día del Respeto a la Diversidad Cultural,día festivo nacional en Argentina,argentina.ics
2021-11-22,Día de la Soberanía Nacional,día festivo nacional en Argentina,argentina.ics
2021-12-08,Día de la Inmaculada Concepción,día festivo nacional en Argentina,argentina.ics
2021-12-25,Navidad,día festivo nacional en Argentina,argentina.ics
